Store,Holidays,Temperature,CPI,Unemployment,Week,Month_Name,Season
1,0,42.31,211.0963582,8.106,5,February,Winter
1,1,38.51,211.2421698,8.106,6,February,Winter
1,0,39.93,211.2891429,8.106,7,February,Winter
1,0,46.63,211.3196429,8.106,8,February,Winter
1,0,46.5,211.3501429,8.106,9,March,Winter
1,0,57.79,211.3806429,8.106,10,March,Winter
1,0,54.58,211.215635,8.106,11,March,Winter
1,0,51.45,211.0180424,8.106,12,March,Winter
1,0,62.27,210.8204499,7.808,13,April,Spring
1,0,65.86,210.6228574,7.808,14,April,Spring
1,0,66.32,210.4887,7.808,15,April,Spring
1,0,64.84,210.4391228,7.808,16,April,Spring
1,0,67.41,210.3895456,7.808,17,April,Spring
1,0,72.55,210.3399684,7.808,18,May,Spring
1,0,74.78,210.3374261,7.808,19,May,Spring
1,0,76.44,210.6170934,7.808,20,May,Spring
1,0,80.44,210.8967606,7.808,21,May,Spring
1,0,80.69,211.1764278,7.808,22,June,Spring
1,0,80.43,211.4560951,7.808,23,June,Spring
1,0,84.11,211.4537719,7.808,24,June,Spring
1,0,84.34,211.3386526,7.808,25,June,Spring
1,0,80.91,211.2235333,7.787,26,July,Summer
1,0,80.48,211.108414,7.787,27,July,Summer
1,0,83.15,211.1003854,7.787,28,July,Summer
1,0,83.36,211.2351443,7.787,29,July,Summer
1,0,81.84,211.3699032,7.787,30,July,Summer
1,0,87.16,211.5046621,7.787,31,August,Summer
1,0,87.0,211.6394211,7.787,32,August,Summer
1,0,86.65,211.6033633,7.787,33,August,Summer
1,0,85.22,211.5673056,7.787,34,August,Summer
1,0,81.21,211.5312479,7.787,35,September,Summer
1,1,78.69,211.4951902,7.787,36,September,Summer
1,0,82.11,211.5224596,7.787,37,September,Summer
1,0,80.94,211.5972246,7.787,38,September,Summer
1,0,71.89,211.6719895,7.838,39,October,Fall
1,0,63.93,211.7467544,7.838,40,October,Fall
1,0,67.18,211.8137436,7.838,41,October,Fall
1,0,69.86,211.8612937,7.838,42,October,Fall
1,0,69.64,211.9088438,7.838,43,October,Fall
1,0,58.74,211.9563939,7.838,44,November,Fall
1,0,59.61,212.003944,7.838,45,November,Fall
1,0,51.41,211.8896737,7.838,46,November,Fall
1,1,64.52,211.7484333,7.838,47,November,Fall
1,0,49.27,211.607193,7.838,48,December,Fall
1,0,46.33,211.4659526,7.838,49,December,Fall
1,0,49.84,211.4053124,7.838,50,December,Fall
1,0,52.33,211.4051222,7.838,51,December,Fall
1,1,48.43,211.4049321,7.838,52,December,Fall
1,0,48.27,211.4047419,7.742,1,January,Winter
1,0,35.4,211.4574109,7.742,2,January,Winter
1,0,44.04,211.8272343,7.742,3,January,Winter
1,0,43.83,212.1970577,7.742,4,January,Winter
1,0,42.27,212.5668812,7.742,5,February,Winter
1,1,36.39,212.9367046,7.742,6,February,Winter
1,0,57.36,213.2478853,7.742,7,February,Winter
1,0,62.9,213.535609,7.742,8,February,Winter
1,0,59.58,213.8233327,7.742,9,March,Winter
1,0,53.56,214.1110564,7.742,10,March,Winter
1,0,62.76,214.3627114,7.742,11,March,Winter
1,0,69.97,214.5999389,7.742,12,March,Winter
1,0,59.17,214.8371664,7.682,13,April,Spring
1,0,67.84,215.0743939,7.682,14,April,Spring
1,0,71.27,215.2918561,7.682,15,April,Spring
1,0,72.99,215.4599053,7.682,16,April,Spring
1,0,72.03,215.6279544,7.682,17,April,Spring
1,0,64.61,215.7960035,7.682,18,May,Spring
1,0,75.64,215.9640526,7.682,19,May,Spring
1,0,67.63,215.7339202,7.682,20,May,Spring
1,0,77.72,215.5037878,7.682,21,May,Spring
1,0,83.0,215.2736553,7.682,22,June,Spring
1,0,83.13,215.0435229,7.682,23,June,Spring
1,0,86.41,214.9980596,7.682,24,June,Spring
1,0,83.58,215.0910982,7.682,25,June,Spring
1,0,85.55,215.1841368,7.962,26,July,Summer
1,0,85.83,215.2771754,7.962,27,July,Summer
1,0,88.54,215.3611087,7.962,28,July,Summer
1,0,85.77,215.4222784,7.962,29,July,Summer
1,0,86.83,215.4834482,7.962,30,July,Summer
1,0,91.65,215.544618,7.962,31,August,Summer
1,0,90.76,215.6057878,7.962,32,August,Summer
1,0,89.94,215.6693107,7.962,33,August,Summer
1,0,87.96,215.7332258,7.962,34,August,Summer
1,0,87.83,215.7971409,7.962,35,September,Summer
1,1,76.0,215.861056,7.962,36,September,Summer
1,0,79.94,216.0410526,7.962,37,September,Summer
1,0,75.8,216.3758246,7.962,38,September,Summer
1,0,79.69,216.7105965,7.962,39,September,Summer
1,0,69.31,217.0453684,7.866,40,October,Fall
1,0,71.74,217.3552733,7.866,41,October,Fall
1,0,63.71,217.5159762,7.866,42,October,Fall
1,0,66.57,217.6766791,7.866,43,October,Fall
1,0,54.98,217.837382,7.866,44,November,Fall
1,0,59.11,217.9980849,7.866,45,November,Fall
1,0,62.25,218.2205088,7.866,46,November,Fall
1,1,60.14,218.4676211,7.866,47,November,Fall
1,0,48.91,218.7147333,7.866,48,December,Fall
1,0,43.93,218.9618456,7.866,49,December,Fall
1,0,51.63,219.1794533,7.866,50,December,Fall
1,0,47.96,219.3577216,7.866,51,December,Fall
1,1,44.55,219.5359898,7.866,52,December,Fall
1,0,49.01,219.7142581,7.348,1,January,Winter
1,0,48.53,219.8925263,7.348,2,January,Winter
1,0,54.11,219.9856893,7.348,3,January,Winter
1,0,54.26,220.0788523,7.348,4,January,Winter
1,0,56.55,220.1720153,7.348,5,February,Winter
1,1,48.02,220.2651783,7.348,6,February,Winter
1,0,45.32,220.4257586,7.348,7,February,Winter
1,0,57.25,220.636902,7.348,8,February,Winter
